E0000046|A-1|A1|
E0001319|cnc|CNC|
E0001373|Caesarian|Caesarean|
E0001373|Cesarean|Caesarean|
E0001373|Cesarian|Caesarean|
E0001398|Calmette Guerin bacillus|Calmette-Guerin bacillus|
E0001412|Camoquine|Camoquin|
E0001427|Kanesten|Canesten|
E0001489|Chagas disease|Chagas' disease|
E0001489|Chagas's disease|Chagas' disease|
E0001515|Chiari's syndrome|Chiari syndrome|
E0001519|chief|Chief|
E0001529|C. trachomatis|Chlamydia trachomatis|
E0001529|chlamydia trachomatis|Chlamydia trachomatis|
E0001569|Codman's tumour|Codman's tumor|
E0001577|Colles fracture|Colles' fracture|
E0001592|con|Con|
E0001599|congressional|Congressional|
E0001600|congressman|Congressman|
E0001601|congresswoman|Congresswoman|
E0001603|CT.|Conn.|
E0001608|ConA|Con-A|
E0001613|Co-operative|Cooperative|
E0001614|Co-operative|Cooperative|
E0001621|Cordis, Inc.|Cordis Corporation|
E0001621|Cordis|Cordis Corporation|
E0001635|Korvatone|Corvaton|
E0001643|Costen's Syndrome|Costen syndrome|
E0001643|Costens Syndrome|Costen syndrome|
E0001649|count|Count|
E0001650|county|County|
E0001653|Cowden Disease|Cowden's Disease|
E0001653|Cowdens Disease|Cowden's Disease|
E0001658|Coxsackievirus|Coxsackie virus|
E0001658|coxsackie virus|Coxsackie virus|
E0001658|coxsackievirus|Coxsackie virus|
E0001663|Cr P|CrP|
E0001677|Crimean haemorrhagic fever virus|Crimean hemorrhagic fever virus|
E0001710|cubism|Cubism|
E0001718|Curantil|Curantyl|
E0001718|Kurantil|Curantyl|
E0001719|Curling ulcer|Curling's ulcer|
E0001719|Curlings ulcer|Curling's ulcer|
E0001724|Cushing Syndrome|Cushing's Syndrome|
E0001724|Cushings Syndrome|Cushing's Syndrome|
E0001738|Cygnolin|Cygnoline|
E0001759|Czechoslovakian|Czechoslovak|
E0001760|Czechoslovakian|Czechoslovak|
E0001764|C1 esterase|C 1 esterase|
E0001764|C1-esterase|C 1 esterase|
E0001767|C-terminal|C terminal|
E0001771|CAP|C.A.P.|
E0001915|dahuang zhechong wan|Dahuang Zhechong Wan|
E0001923|dalmatian|Dalmatian|
E0001927|dalton|Dalton|
E0001940|Danlos disease|Danlos' disease|
E0001957|Daunoblastine|Daunoblastin|
E0001959|daunorubicin|Daunorubicin|
E0001968|Da Costa syndrome|Da Costa's syndrome|
E0001968|DaCosta syndrome|Da Costa's syndrome|
E0001968|DaCosta's syndrome|Da Costa's syndrome|
E0001975|Dec.|Dec|
E0001978|Dekaris|Decaris|
E0001988|Deg.|Deg|
E0001988|deg.|Deg|
E0001988|deg|Deg|
E0001990|Decranol|Degranol|
E0001992|deism|Deism|
E0002025|destiny|Destiny|
E0002030|Devic disease|Devic's disease|
E0002038|Diagnostic-Related Group|Diagnostic Related Group|
E0002043|Dibenylene|Dibenyline|
E0002044|Dibenzylin|Dibenzyline|
E0002104|Diiodoquin|Diodoquin|
E0002121|DiGuglielmo disease|Di Guglielmo disease|
E0002140|dominion|Dominion|
E0002148|Douglas's cul-de-sac|Douglas' cul-de-sac|
E0002150|Down syndrome|Down's syndrome|
E0002150|Down's Syndrome|Down's syndrome|
E0002164|Duchenne muscular dystrophy|Duchenne's muscular dystrophy|
E0002197|dyazide|Dyazide|
E0002199|dynorphin|Dynorphin|
E0002216|D.Hy.|D.Hg.|
E0002236|EBNA 1|EBNA1|
E0002238|E B virus|EB virus|
E0002238|E-B virus|EB virus|
E0002240|ecdovirus|ECDO virus|
E0002241|EKG|ECG|
E0002245|ecmovirus|ECMO virus|
E0002249|EC/IC|EC-IC|
E0002291|ets|ETS|
E0002295|Eales disease|Eales' disease|
E0002295|Eales's disease|Eales' disease|
E0002297|earl|Earl|
E0002305|Eating Disorders Inventory|Eating Disorder Inventory|
E0002316|Edelmann's anaemia|Edelmann's anemia|
E0002328|Ehlers Danlos disease|Ehlers-Danlos disease|
E0002335|Eisenmenger's syndrome|Eisenmenger syndrome|
E0002344|empire|Empire|
E0002358|Entero-bacteriaceae|Enterobacteriaceae|
E0002359|ENTEROtest|Enterotest|
E0002365|Episcopalian|Episcopal|
E0002365|episcopalian|Episcopal|
E0002365|episcopal|Episcopal|
E0002366|Episcopalian|Episcopal|
E0002366|episcopalian|Episcopal|
E0002366|episcopal|Episcopal|
E0002379|Erb Duchenne paralysis|Erb-Duchenne paralysis|
E0002394|Esmarch's bandage|Esmarch bandage|
E0002403|Euclidian|Euclidean|
E0002416|eustachian|Eustachian|
E0002417|evangelical|Evangelical|
E0002419|Evan's blue|Evans blue|
E0002419|evans blue|Evans blue|
E0002422|Ewing sarcoma|Ewing's sarcoma|
E0002424|expressionism|Expressionism|
E0002453|FEV 1.0|FEV1|
E0002453|FEV1.0|FEV1|
E0002478|FVIIIRAg|FVIIIRA|
E0002483|factor VIII|Factor VIII|
E0002487|fallopian|Fallopian|
E0002489|Fanconi's anaemia|Fanconi's anemia|
E0002493|fascism|Fascism|
E0002494|fascist|Fascist|
E0002500|Feb.|Feb|
E0002557|Fitzhugh Curtis syndrome|Fitz-Hugh-Curtis syndrome|
E0002557|Fitzhugh-Curtis syndrome|Fitz-Hugh-Curtis syndrome|
E0002578|Forbes disease|Forbes' disease|
E0002599|Francis disease|Francis' disease|
E0002603|Frederik|Frederick|
E0002650|F.R.C.P.(C.)|F.R.C.P.C.|
E0002680|gp110|GP110|
E0002681|gp30|GP30|
E0002682|gp32|GP32|
E0002683|gp41|GP41|
E0002684|gp64|GP64|
E0002708|galv|Galv.|
E0002745|gentile|Gentile|
E0002746|gentile|Gentile|
E0002780|Giemsa's stain|Giemsa stain|
E0002807|GoLYTELY|Golytely|
E0002817|Gpp(NH)p|GppNHp|
E0002822|Grave's disease|Graves' disease|
E0002822|Graves's disease|Graves' disease|
E0002831|Greenwich mean time|Greenwich Mean Time|
E0002842|Gross disease|Gross's disease|
E0002842|Gross' disease|Gross's disease|
E0002867|Marcus Gunn's pupillary sign|Gunn's pupillary sign|
E0002873|Gynaecologist|Gynecologist|
E0002874|gipsy|Gypsy|
E0002874|gypsy|Gypsy|
E0002910|HL60|HL-60|
E0002911|HLA|HL-A|
E0002952|HT-29|HT29|
E0002953|HT-29|HT29|
E0002956|HTLV-III-LAV antibody|HTLV III LAV antibody|
E0002957|HTLV-III-LAV antigen|HTLV III LAV antigen|
E0002960|HTLV-III serodiagnosis|HTLV III serodiagnosis|
E0002961|HTLV-III serology|HTLV III serology|
E0002969|HTLV-I|HTLV-1|
E0002969|HTLVI|HTLV-1|
E0002970|HTLVII|HTLV-II|
E0002971|HTLVIII|HTLV-III|
E0002972|HTLV IV|HTLV-IV|
E0002981|Hemosporidium|Haemosporidium|
E0002983|Hageman factor|Hagemann factor|
E0002987|Hailey Hailey disease|Hailey-Hailey disease|
E0002996|Hallervorden Spatz disease|Hallervorden-Spatz disease|
E0003007|Hand Schuller Christian disease|Hand-Schuller-Christian disease|
E0003064|Haemophilus|Hemophilus|
E0003067|Henderson-Hasselbalch|Henderson-Hasselbach|
E0003078|herculean|Herculean|
E0003081|Hers disease|Hers' disease|
E0003117|His bursa|His bursa|
E0003144|homo|Homo|
E0003163|Hovius's canal|Hovius' canal|
E0003164|Hovius's circle|Hovius' circle|
E0003165|Hovius's membrane|Hovius' membrane|
E0003166|Hovius's plexus|Hovius' plexus|
E0003169|HsaI Endonuclease|HsaI endonuclease|
E0003187|Hunter syndrome|Hunter's syndrome|
E0003195|Hurler Disease|Hurler's disease|
E0003196|Hurler syndrome|Hurler's syndrome|
E0003196|Hurlers syndrome|Hurler's syndrome|
E0003226|hyperstat|Hyperstat|
E0003255|ICAb|ICA|
E0003279|I.C.U.|ICU|
E0003292|IGF-I|IGF-1|
E0003293|IGF-II|IGF-2|
E0003302|IL-2|IL 2|
E0003302|IL2|IL 2|
E0003319|I.Q.|IQ|
E0003391|imperial|Imperial|
E0003392|impressionism|Impressionism|
E0003393|impressionist|Impressionist|
E0003485|IPAA|I.P.A.A.|
E0003514|Jakob Creutzfeldt disease|Jakob-Creutzfeldt disease|
E0003552|joule|Joule|
E0003576|Kaposi sarcoma|Kaposi's sarcoma|
E0003576|Kaposis sarcoma|Kaposi's sarcoma|
E0003614|Kinnier-Wilson disease|Kinnier Wilson disease|
E0003620|kleenex|Kleenex|
E0003626|Klumpke Dejerine paralysis|Klumpke-Dejerine paralysis|
E0003644|Korsakov's disease|Korsakoff's disease|
E0003661|Kuf's disease|Kufs' disease|
E0003661|Kufs disease|Kufs' disease|
E0003661|Kufs's disease|Kufs' disease|
E0003675|Kussmaul Landry paralysis|Kussmaul-Landry paralysis|
E0003704|LCMR-gl|LCMRglu|
E0003704|LCMRGl|LCMRglu|
E0003704|LCMRgl|LCMRglu|
E0003772|Langdon-Down's disease|Langdon Down's disease|
E0003812|Legg Calve Perthes disease|Legg-Calve-Perthes disease|
E0003817|Leishmania brasiliensis|Leishmania braziliensis|
E0003818|Leishmania brasiliensis brasiliensis|Leishmania braziliensis braziliensis|
E0003835|Lewandowsky Lutz disease|Lewandowsky-Lutz disease|
E0003844|Leydig's cell|Leydig cell|
E0003869|limbo|Limbo|
E0003901|lord|Lord|
E0003902|lord|Lord|
E0003943|LPN|L.P.N.|
E0003943|l.p.n.|L.P.N.|
E0003943|lpn|L.P.N.|
E0003998|Macaca fasicularis|Macaca fascicularis|
E0004006|Madam|Madame|
E0004022|Malayan|Malaysian|
E0004033|mammalia|Mammalia|
E0004036|Mann Bollman fistula|Mann-Bollman fistula|
E0004046|Marchiafava Micheli disease|Marchiafava-Micheli disease|
E0004048|Marcus-Gunn pupil|Marcus Gunn pupil|
E0004055|Marie Bamberger disease|Marie-Bamberger disease|
E0004057|Marie Strumpell spondylitis|Marie-Strumpell spondylitis|
E0004082|medicaid|Medicaid|
E0004090|medicare|Medicare|
E0004115|Memorial Sloan-Kettering Cancer Center|Memorial Sloan Kettering Cancer Center|
E0004121|mengovirus|Mengo virus|
E0004123|Menkes disease|Menkes' disease|
E0004139|Microtrak|MicroTrak|
E0004139|microtrak|MicroTrak|
E0004171|mocha|Mocha|
E0004172|mod|Mod|
E0004173|moderil|Moderil|
E0004213|morgagnian foramen|Morgagni's foramen|
E0004231|moselle|Moselle|
E0004233|Muslem|Moslem|
E0004233|Muslim|Moslem|
E0004234|Muslem|Moslem|
E0004234|Muslim|Moslem|
E0004237|moyamoya|Moya Moya|
E0004245|Mucha Habermann disease|Mucha-Habermann disease|
E0004262|Mycobacterium avium intracellulare|Mycobacterium avium-intracellulare|
E0004295|NAD(H)|NADH|
E0004424|negroid|Negroid|
E0004425|negroid|Negroid|
E0004427|Neisseria gonorrhea|Neisseria gonorrhoeae|
E0004456|New Zealand Black|New Zealand black|
E0004457|New Zealand White|New Zealand white|
E0004488|north|North|
E0004489|north|North|
E0004490|northeastern|Northeastern|
E0004491|northern|Northern|
E0004493|northwest|Northwest|
E0004494|northwest|Northwest|
E0004495|northwestern|Northwestern|
E0004504|Nov.|Nov|
E0004508|Nulytely|NuLYTELY|
E0004540|NY|N.Y.|
E0004580|OP|Op|
E0004588|oriental|Oriental|
E0004589|oriental|Oriental|
E0004598|Osgood Schlatter disease|Osgood-Schlatter disease|
E0004599|Osler-Rendu disease|Osler Rendu disease|
E0004615|oxyterracin|Oxyterracine|
E0004701|PGE-1|PGE1|
E0004712|P.I.D.|PID|
E0004728|Prl|PRL|
E0004744|puva therapy|PUVA therapy|
E0004797|Panthopaque|Pantopaque|
E0004807|paradise|Paradise|
E0004826|Parkinsons disease|Parkinson's disease|
E0004826|Parkinsons' disease|Parkinson's disease|
E0004826|Parkinsons's disease|Parkinson's disease|
E0004832|paschal|Paschal|
E0004849|Pelizaeus Merzbacher disease|Pelizaeus-Merzbacher disease|
E0004888|Ph 1 chromosome|Ph1 chromosome|
E0004904|photostat|Photostat|
E0004911|PhD|Ph.D.|
E0004922|Pierre-Robin syndrome|Pierre Robin syndrome|
E0004929|Pipolfen|Pipolphen|
E0004981|populist|Populist|
E0005028|PPD|P.P.D.|
E0005031|Q.R.|QR|
E0005034|queen|Queen|
E0005035|queen|Queen|
E0005040|Quincke's oedema|Quincke's edema|
E0005044|QT interval|Q-T interval|
E0005046|r|R|
E0005049|RAS|RA-s|
E0005060|RNAase|RNase|
E0005079|ras.|Ras.|
E0005085|realm|Realm|
E0005095|Reed Sternberg cell|Reed-Sternberg cell|
E0005097|regent|Regent|
E0005098|regent|Regent|
E0005099|reggae|Reggae|
E0005153|Rivinus foramen|Rivinus' foramen|
E0005153|Rivinus's foramen|Rivinus' foramen|
E0005167|Roumanian|Romanian|
E0005167|Rumanian|Romanian|
E0005168|Roumanian|Romanian|
E0005168|Rumanian|Romanian|
E0005175|rose bengal|Rose Bengal|
E0005193|Rous associated virus|Rous-associated virus|
E0005195|Roux en Y anastomosis|Roux-en-Y anastomosis|
E0005207|rugby|Rugby|
E0005243|RMP|R.M.P.|
E0005244|RN|R.N.|
E0005248|RSA|R.S.A.|
E0005272|sp.|SP|
E0005281|ST segment|ST-segment|
E0005287|SV 40|SV40|
E0005314|san zhuang wan|San Zhuang Wan|
E0005378|scrooge|Scrooge|
E0005389|senator|Senator|
E0005407|Shy-Drager syndrome|Shy Drager syndrome|
E0005419|Simmond's disease|Simmonds' disease|
E0005419|Simmonds disease|Simmonds' disease|
E0005427|Sjogren syndrome|Sjogren's syndrome|
E0005431|smilax|Smilax|
E0005466|Spielmeyer Vogt disease|Spielmeyer-Vogt disease|
E0005523|Westphal-Strumpell pseudosclerosis|Strumpell-Westphal pseudosclerosis|
E0005585|SYVA|Syva|
E0005728|Tigazon|Tigason|
E0005739|Thiopronine|Tiopronin|
E0005739|Tiopronine|Tiopronin|
E0005761|Tolosa Hunt syndrome|Tolosa-Hunt syndrome|
E0005825|T cell|T-cell|
E0005827|T lymphocyte|T-lymphocyte|
E0005828|TAT|T.A.T.|
E0005857|UDP-glucuronosyltransferase|UDP glucuronosyltransferase|
E0005878|U.S.|US|
E0005879|U.S.A.|USA|
E0005964|Unverricht Lundborg disease|Unverricht-Lundborg disease|
E0006031|Valsalva's manoeuvre|Valsalva's maneuver|
E0006073|vinca|Vinca|
E0006085|vit. A|Vit A|
E0006086|vit. C|Vit C|
E0006087|vit. E|Vit E|
E0006088|vit. G|Vit G|
E0006089|vit. K|Vit K|
E0006090|vit. L|Vit L|
E0006091|vit. M|Vit M|
E0006103|VA|V.A.|
E0006139|Waldenstrom's macroglobulinaemia|Waldenstrom's macroglobulinemia|
E0006175|Vvedenskii inhibition|Wedensky inhibition|
E0006208|Wernicke's aphasia|Wernicke aphasia|
E0006245|Wilm's tumor|Wilms' tumor|
E0006245|Wilm's tumour|Wilms' tumor|
E0006245|Wilms tumor|Wilms' tumor|
E0006245|Wilms tumour|Wilms' tumor|
E0006245|Wilms' tumour|Wilms' tumor|
E0006245|Wilms's tumor|Wilms' tumor|
E0006245|Wilms's tumour|Wilms' tumor|
E0006265|Wistar-Furth rat|Wistar Furth rat|
E0006278|Wolff-Parkinson-White syndrome|Wolff Parkinson White syndrome|
E0006320|xerox|Xerox|
E0006321|xerox|Xerox|
E0006331|X inactivation|X-inactivation|
E0006332|X linked|X-linked|
E0006333|X ray|X-ray|
E0006333|x ray|X-ray|
E0006333|x-ray|X-ray|
E0006333|xray|X-ray|
E0006334|X ray|X-ray|
E0006334|x ray|X-ray|
E0006334|x-ray|X-ray|
E0006334|xray|X-ray|
E0006401|zwittergent|Zwittergent|
E0006407|[18F]2-deoxyglucose|[18F]-2-deoxyglucose|
E0006446|abdominal aortic aneurism|abdominal aortic aneurysm|
E0006468|abdomino-vaginal|abdominovaginal|
E0006481|abetalipoproteinaemia|abetalipoproteinemia|
E0006492|abiologic|abiological|
E0006554|above mentioned|above-mentioned|
E0006555|above named|above-named|
E0006566|abridgable|abridgeable|
E0006567|abridgement|abridgment|
E0006592|absinth|absinthe|
E0006610|absorbable gelatine sponge|absorbable gelatin sponge|
E0006725|accident prone|accident-prone|
E0006732|acclimatise|acclimatize|
E0006756|acccouter|accoutre|
E0006757|accouterment|accoutrement|
E0006771|accurst|accursed|
E0006835|acetylisation|acetylization|
E0006849|acetylsulphanilamide|acetylsulfanilamide|
E0006877|achromatise|achromatize|
E0006891|acidaemia|acidemia|
E0006892|acidaemic|acidemic|
E0006925|acknowledgment|acknowledgement|
E0006933|acneform|acneiform|
E0006949|acoustical|acoustic|
E0006969|acquired haemolytic anaemia|acquired hemolytic anemia|
E0006969|acquired haemolytic anemia|acquired hemolytic anemia|
E0006969|acquired hemolytic anaemia|acquired hemolytic anemia|
E0006971|acquired immune-deficiency syndrome|acquired immune deficiency syndrome|
E0007021|acromio-clavicular|acromioclavicular|
E0007023|acromio-humeral|acromiohumeral|
E0007169|acute haemolytic anaemia|acute hemolytic anemia|
E0007169|acute haemolytic anemia|acute hemolytic anemia|
E0007169|acute hemolytic anaemia|acute hemolytic anemia|
E0007170|acute haemorrhagic conjunctivitis|acute hemorrhagic conjunctivitis|
E0007172|acute haemorrhagic pancreatitis|acute hemorrhagic pancreatitis|
E0007184|acute lymphoblastic leucaemia|acute lymphoblastic leukemia|
E0007184|acute lymphoblastic leucemia|acute lymphoblastic leukemia|
E0007184|acute lymphoblastic leukaemia|acute lymphoblastic leukemia|
E0007193|acute non-lymphocytic leucaemia|acute non-lymphocytic leukemia|
E0007193|acute non-lymphocytic leucemia|acute non-lymphocytic leukemia|
E0007193|acute non-lymphocytic leukaemia|acute non-lymphocytic leukemia|
E0007193|acute nonlymphocytic leucaemia|acute non-lymphocytic leukemia|
E0007193|acute nonlymphocytic leucemia|acute non-lymphocytic leukemia|
E0007193|acute nonlymphocytic leukaemia|acute non-lymphocytic leukemia|
E0007193|acute nonlymphocytic leukemia|acute non-lymphocytic leukemia|
E0007202|acute posthemorrhagic anaemia|acute posthemorrhagic anemia|
E0007219|aciclovir|acyclovir|
E0007276|adendric|adendritic|
E0007287|adeno-carcinoma|adenocarcinoma|
E0007295|adenohypophysial|adenohypophyseal|
E0007324|adenosinediphosphate|adenosine diphosphate|
E0007340|adenylylimidodiphosphate|adenylyl imidodiphosphate|
E0007341|adenylcyclase|adenyl cyclase|
E0007381|adipopexic|adipopectic|
E0007496|adreno-cortical|adrenocortical|
E0007501|adrenocorticotrophic|adrenocorticotropic|
E0007502|adrenocorticotrophic hormone|adrenocorticotropic hormone|
E0007503|adreno-corticotrophin|adrenocorticotropin|
E0007503|adreno-corticotropin|adrenocorticotropin|
E0007503|adrenocorticotrophin|adrenocorticotropin|
E0007516|adrenotropic|adrenotrophic|
E0007540|adult T cell leucaemia|adult T-cell leukemia|
E0007540|adult T cell leucemia|adult T-cell leukemia|
E0007540|adult T cell leukaemia|adult T-cell leukemia|
E0007540|adult T cell leukemia|adult T-cell leukemia|
E0007540|adult T-cell leucaemia|adult T-cell leukemia|
E0007540|adult T-cell leucemia|adult T-cell leukemia|
E0007540|adult T-cell leukaemia|adult T-cell leukemia|
E0007541|adult coeliac disease|adult celiac disease|
E0007546|adult t-cell lymphoma|adult T-cell lymphoma|
E0007592|ad-lib|ad lib|
E0007616|aero-digestive|aerodigestive|
E0007626|aeronautic|aeronautical|
E0007645|esthete|aesthete|
E0007646|aesthetic|aesthetical|
E0007646|esthetical|aesthetical|
E0007646|esthetic|aesthetical|
E0007647|esthetics|aesthetics|
E0007648|etiology|aetiology|
E0007696|aflatoxin b1|aflatoxin B1|
E0007700|afore-said|aforesaid|
E0007701|afore-said|aforesaid|
E0007702|aforementioned|afore-mentioned|
E0007703|aforementioned|afore-mentioned|
E0007711|after care|aftercare|
E0007711|after-care|aftercare|
E0007715|after image|afterimage|
E0007715|after-image|afterimage|
E0007720|after-potential|afterpotential|
E0007722|after treatment|aftertreatment|
E0007722|after-treatment|aftertreatment|
E0007724|after hyperpolarisation|after-hyperpolarization|
E0007724|after hyperpolarization|after-hyperpolarization|
E0007724|after-hyperpolarisation|after-hyperpolarization|
E0007724|afterhyperpolarisation|after-hyperpolarization|
E0007724|afterhyperpolarization|after-hyperpolarization|
E0007729|agammaglobulinaemia|agammaglobulinemia|
E0007743|aging|ageing|
E0007744|aging|ageing|
E0007778|agglutinogenic|agglutogenic|
E0007780|aggrandisement|aggrandizement|
E0007805|aglycon|aglycone|
E0007827|agonise|agonize|
E0007828|agonised|agonized|
E0007850|agrypnode|agrypnotic|
E0007879|aeroplane|airplane|
E0007890|air-conditioning|air conditioning|
E0007901|airsick|air-sick|
E0007902|airsickness|air-sickness|
E0007910|acinetic|akinetic|
E0007918|alanine amino transferase|alanine aminotransferase|
E0007926|alastrinic|alastrimic|
E0007940|albumen|albumin|
E0007967|alcoholisation|alcoholization|
E0007968|alcoholise|alcoholize|
E0007971|alcohol-withdrawal syndrome|alcohol withdrawal syndrome|
E0007989|aleucaemic|aleukemic|
E0007989|aleucemic|aleukemic|
E0007989|aleukaemic|aleukemic|
E0008010|algebraical|algebraic|
E0008037|aline|align|
E0008038|alinement|alignment|
E0008043|alimentary oedema|alimentary edema|
E0008060|ALK|alk|
E0008069|alkalinisation|alkalinization|
E0008070|alkalise|alkalize|
E0008079|alcaptonuria|alkaptonuria|
E0008080|alcaptonuric|alkaptonuric|
E0008081|alcaptonuric|alkaptonuric|
E0008107|allel|allele|
E0008162|allogeneic|allogenic|
E0008215|alright|all right|
E0008216|alright|all right|
E0008244|alphabetic|alphabetical|
E0008250|alpha-atrial naturiuretic peptide|alpha atrial natriuretic peptide|
E0008253|alpha-globulin|alpha globulin|
E0008260|alpha-act|alpha-1-act|
E0008263|alpha 1 anti-trypsin|alpha-1-anti-trypsin|
E0008263|alpha 1 antitrypsin|alpha-1-anti-trypsin|
E0008263|alpha 1-anti-trypsin|alpha-1-anti-trypsin|
E0008263|alpha 1-antitrypsin|alpha-1-anti-trypsin|
E0008263|alpha-1-antitrypsin|alpha-1-anti-trypsin|
E0008268|alphaadrenergic|alpha-adrenergic|
E0008284|alpha-glucosyl transferase|alpha-glucosyltransferase|
E0008301|alpha tocopherol|alpha-tocopherol|
E0008355|aluminium|aluminum|
E0008391|alveolo-capillary|alveolocapillary|
E0008393|alveolo-dental|alveolodental|
E0008395|alveolo-labial|alveololabial|
E0008396|alveolo-lingual|alveololingual|
E0008398|alveolo-palatal|alveolopalatal|
E0008399|alveoplasty|alveoloplasty|
E0008409|amakrine|amacrine|
E0008410|amakrine|amacrine|
E0008439|embassador|ambassador|
E0008446|ambiance|ambience|
E0008457|ambosexual|ambisexual|
E0008480|amoebiasis|amebiasis|
E0008481|amebacidal|amebicidal|
E0008481|amoebacidal|amebicidal|
E0008481|amoebidical|amebicidal|
E0008484|amoebic colitis|amebic colitis|
E0008485|amoebic dysentery|amebic dysentery|
E0008492|amoeboid|ameboid|
E0008510|amenorrheic|amenorrheal|
E0008510|amenorrhoeal|amenorrheal|
E0008510|amenorrhoeic|amenorrheal|
E0008516|american standard code for information interchange|American Standard Code for Information Interchange|
E0008540|amid|amidst|
E0008561|amidophenazon|aminophenazone|
E0008570|aminoacid|amino acid|
E0008579|ammoniac|ammoniacal|
E0008594|amnesiac|amnesic|
E0008595|amnesiac|amnesic|
E0008603|amniotic|amnionic|
E0008610|ameba|amoeba|
E0008611|amebic|amoebic|
E0008612|amebacide|amoebicide|
E0008612|amebicide|amoebicide|
E0008612|amoebacide|amoebicide|
E0008613|amebocyte|amoebocyte|
E0008614|amongst|among|
E0008622|amortisation|amortization|
E0008623|amortise|amortize|
E0008657|amphitheatre|amphitheater|
E0008664|amphotericin-B|amphotericin B|
E0008679|ampoule|ampule|
E0008690|ams.|ams|
E0008733|amyasthenic|amyosthenic|
E0008756|anemic|anaemic|
E0008771|anaesthetization|anaesthetisation|
E0008771|anesthetisation|anaesthetisation|
E0008771|anesthetization|anaesthetisation|
E0008772|anaesthetize|anaesthetise|
E0008772|anesthetise|anaesthetise|
E0008772|anesthetize|anaesthetise|
E0008781|analgetic|analgesic|
E0008782|analgetic|analgesic|
